Algorithme,Taille,Croissant,Decroissant,Constant,Moyen
Bulle_Basique,1000,0.002000,0.001000,0.000000,0.002100
Bulle_OptBoucle,1000,0.000000,0.000000,0.006000,0.001190
Bulle_OptArret,1000,0.000000,0.000000,0.000000,0.001040
Cocktail,1000,0.000000,0.000000,0.000000,0.001230
Selection,1000,0.014000,0.000000,0.000000,0.001020
Insertion,1000,0.000000,0.000000,0.000000,0.000290
Fusion,1000,0.000000,0.002000,0.000000,0.000510
Rapide,1000,0.000000,0.007000,0.000000,0.001090
Denombrement,1000,0.000000,0.000000,0.000000,0.000040
Tas,1000,0.000000,0.000000,0.000000,0.000160
Shell,1000,0.000000,0.000000,0.000000,0.000060
Bulle_Basique,2000,0.016000,0.009000,0.008000,0.008370
Bulle_OptBoucle,2000,0.000000,0.018000,0.005000,0.004720
Bulle_OptArret,2000,0.000000,0.000000,0.000000,0.004170
Cocktail,2000,0.000000,0.016000,0.000000,0.004630
Selection,2000,0.004000,0.000000,0.000000,0.003120
Insertion,2000,0.000000,0.000000,0.000000,0.001560
Fusion,2000,0.000000,0.000000,0.000000,0.000890
Rapide,2000,0.000000,0.000000,0.020000,0.002270
Denombrement,2000,0.000000,0.000000,0.000000,0.000160
Tas,2000,0.000000,0.000000,0.000000,0.000170
Shell,2000,0.000000,0.000000,0.000000,0.000060
Bulle_Basique,3000,0.007000,0.015000,0.018000,0.018710
Bulle_OptBoucle,3000,0.017000,0.000000,0.008000,0.010400
Bulle_OptArret,3000,0.000000,0.009000,0.000000,0.009400
Cocktail,3000,0.000000,0.000000,0.000000,0.009870
Selection,3000,0.003000,0.000000,0.000000,0.007030
Insertion,3000,0.000000,0.000000,0.000000,0.001830
Fusion,3000,0.000000,0.000000,0.000000,0.000780
Rapide,3000,0.007000,0.000000,0.015000,0.004600
Denombrement,3000,0.000000,0.000000,0.000000,0.000020
Tas,3000,0.002000,0.000000,0.000000,0.000280
Shell,3000,0.000000,0.000000,0.000000,0.000040
Bulle_Basique,5000,0.037000,0.037000,0.025000,0.052350
Bulle_OptBoucle,5000,0.019000,0.024000,0.024000,0.033390
Bulle_OptArret,5000,0.000000,0.022000,0.000000,0.031920
Cocktail,5000,0.000000,0.027000,0.000000,0.028640
Selection,5000,0.021000,0.017000,0.015000,0.016320
Insertion,5000,0.000000,0.017000,0.000000,0.005630
Fusion,5000,0.000000,0.005000,0.000000,0.001410
Rapide,5000,0.016000,0.026000,0.019000,0.013180
Denombrement,5000,0.000000,0.000000,0.000000,0.000210
Tas,5000,0.003000,0.000000,0.002000,0.000510
Shell,5000,0.000000,0.000000,0.000000,0.000070
Insertion,7000,0.000000,0.034000,0.000000,0.009530
Fusion,7000,0.000000,0.000000,0.000000,0.002380
Rapide,7000,0.068000,0.039000,0.033000,0.024700
Denombrement,7000,0.000000,0.000000,0.000000,0.000200
Tas,7000,0.002000,0.000000,0.000000,0.001030
Shell,7000,0.000000,0.000000,0.000000,0.000480
Insertion,10000,0.000000,0.076000,0.000000,0.019370
Fusion,10000,0.005000,0.009000,0.004000,0.002890
Rapide,10000,0.060000,0.056000,0.050000,0.049400
Denombrement,10000,0.000000,0.000000,0.000000,0.000110
Tas,10000,0.000000,0.000000,0.003000,0.001070
Shell,10000,0.000000,0.000000,0.000000,0.000510
Insertion,15000,0.000000,0.147000,0.000000,0.079350
Fusion,15000,0.015000,0.019000,0.000000,0.007030
Rapide,15000,0.227000,0.206000,0.205000,0.202250
Denombrement,15000,0.000000,0.000000,0.000000,0.000210
Tas,15000,0.000000,0.004000,0.006000,0.002430
Shell,15000,0.000000,0.000000,0.000000,0.001010
